Aapticheilichthys websteri
Aaptosyax grypus
Abactochromis labrosus
Abalistes filamentosus
Abalistes stellatus
Abbottina binhi
Abbottina lalinensis
Abbottina liaoningensis
Abbottina obtusirostris
Abbottina rivularis
Ablabys binotatus
Ablabys gymnothorax
Ablabys macracanthus
Ablabys pauciporus
Ablabys taenianotus
Ablennes hians
Aboma etheostoma
Aborichthys cataracta
Aborichthys elongatus
Aborichthys garoensis
Aborichthys kempi
Aborichthys rosammai
Aborichthys tikaderi
Aborichthys verticauda
Aborichthys waikhomi
Abramis brama
Abramites eques
Abramites hypselonotus
Abudefduf abdominalis
Abudefduf bengalensis
Abudefduf concolor
Abudefduf conformis
Abudefduf declivifrons
Abudefduf hoefleri
Abudefduf lorenzi
Abudefduf margariteus
Abudefduf natalensis
Abudefduf nigrimargo
Abudefduf notatus
Abudefduf saxatilis
Abudefduf septemfasciatus
Abudefduf sexfasciatus
Abudefduf sordidus
Abudefduf sparoides
Abudefduf taurus
Abudefduf troschelii
Abudefduf vaigiensis
Abudefduf whitleyi
Abyssoberyx levisquamosus
Abyssobrotula galatheae
Abyssocottus elochini
Abyssocottus gibbosus
Abyssocottus korotneffi
Acanthaluteres brownii
Acanthaluteres spilomelanurus
Acanthaluteres vittiger
Acanthanectes hystrix
Acanthanectes rufus
Acanthaphritis barbata
Acanthaphritis grandisquamis
Acanthaphritis ozawai
Acanthaphritis unoorum
Acantharchus pomotis
Acanthemblemaria aspera
Acanthemblemaria atrata
Acanthemblemaria balanorum
Acanthemblemaria betinensis
Acanthemblemaria castroi
Acanthemblemaria chaplini
Acanthemblemaria crockeri
Acanthemblemaria exilispinus
Acanthemblemaria greenfieldi
Acanthemblemaria hancocki
Acanthemblemaria harpeza
Acanthemblemaria hastingsi
Acanthemblemaria johnsoni
Acanthemblemaria macrospilus
Acanthemblemaria mangognatha
Acanthemblemaria maria
Acanthemblemaria medusa
Acanthemblemaria paula
Acanthemblemaria rivasi
Acanthemblemaria spinosa
Acanthemblemaria stephensi
Acanthicus Hypostominae
Acanthicus hystrix
Acanthistius brasilianus
Acanthistius cinctus
Acanthistius fuscus
Acanthistius joanae
Acanthistius ocellatus
Acanthistius pardalotus
Acanthistius patachonicus
Acanthistius paxtoni
Acanthistius pictus
Acanthistius sebastoides
Acanthistius serratus
Acanthobrama centisquama
Acanthobrama hadiyahensis
Acanthobrama lissneri
Acanthobrama marmid
Acanthobrama microlepis
Acanthobrama orontis
Acanthobrama persidis
Acanthobrama telavivensis
Acanthobrama thisbeae
Acanthobrama tricolor
Acanthobrama urmianus
Acanthobunocephalus nicoi
Acanthocepola abbreviata
Acanthocepola indica
Acanthocepola krusensternii
Acanthocepola limbata
Acanthochaenus luetkenii
Acanthocharax microlepis
Acanthochromis polyacanthus
Acanthocleithron chapini
Acanthoclinus fuscus
Acanthoclinus littoreus
Acanthoclinus marilynae
Acanthoclinus matti
Acanthoclinus rua
Acanthocobitis botia
Acanthocobitis mooreh
Acanthocobitis pavonacea
Acanthocobitis pictilis
